timestamp,time_formatted,duration_sec,algorithm,heuristic,ai_mode,score,total_steps,ai_steps,player_steps,pellets_total,pellets_eaten,pellets_remaining,power_pellets_total,power_pellets_eaten,power_pellets_remaining,level_reached,few_pellets_mode,few_pellets_count,ghost_mode,lives_lost,current_mode,ai_time_sec,human_time_sec,mode_changes_count,result
2025-10-08T10:22:05,00:21,21,IDS,MANHATTAN,AI,70,78,78,0,7,7,0,4,0,4,0,True,7,False,0,AI,21,0,0,LEVEL_COMPLETE
2025-10-08T10:22:06,00:15,15,IDS,MANHATTAN,AI,70,65,65,0,7,7,0,4,0,4,0,True,7,False,0,AI,15,0,0,LEVEL_COMPLETE
2025-10-08T10:22:45,00:17,17,IDS,EUCLIDEAN,AI,70,74,74,0,7,7,0,4,0,4,0,True,7,False,0,AI,17,0,0,LEVEL_COMPLETE
2025-10-08T10:22:58,00:39,39,IDS,EUCLIDEAN,AI,70,94,94,0,7,7,0,4,0,4,0,True,7,False,0,AI,39,0,0,LEVEL_COMPLETE
2025-10-08T10:23:14,00:18,18,IDS,EUCLIDEAN,AI,70,74,74,0,7,7,0,4,0,4,0,True,7,False,0,AI,18,0,0,LEVEL_COMPLETE
2025-10-08T10:23:22,00:46,46,IDS,EUCLIDEAN,AI,70,96,96,0,7,7,0,4,0,4,0,True,7,False,0,AI,46,0,0,LEVEL_COMPLETE
2025-10-08T10:23:26,00:40,40,IDS,EUCLIDEAN,AI,70,98,98,0,7,7,0,4,0,4,0,True,7,False,0,AI,40,0,0,LEVEL_COMPLETE
2025-10-08T10:23:40,00:12,12,IDS,EUCLIDEAN,AI,70,63,63,0,7,7,0,4,0,4,0,True,7,False,0,AI,12,0,0,LEVEL_COMPLETE
2025-10-08T10:23:54,00:20,20,IDS,EUCLIDEAN,AI,70,73,73,0,7,7,0,4,0,4,0,True,7,False,0,AI,20,0,0,LEVEL_COMPLETE
2025-10-08T10:24:02,00:18,18,IDS,EUCLIDEAN,AI,70,77,77,0,7,7,0,4,0,4,0,True,7,False,0,AI,18,0,0,LEVEL_COMPLETE
2025-10-08T10:24:04,00:55,55,IDS,EUCLIDEAN,AI,70,98,98,0,7,7,0,4,0,4,0,True,7,False,0,AI,55,0,0,LEVEL_COMPLETE
2025-10-08T10:24:12,00:21,21,IDS,EUCLIDEAN,AI,70,78,78,0,7,7,0,4,0,4,0,True,7,False,0,AI,21,0,0,LEVEL_COMPLETE
2025-10-08T10:24:40,00:27,27,IDS,EUCLIDEAN,AI,70,90,90,0,7,7,0,4,0,4,0,True,7,False,0,AI,27,0,0,LEVEL_COMPLETE
2025-10-08T10:24:48,00:27,27,IDS,EUCLIDEAN,AI,70,95,95,0,7,7,0,4,0,4,0,True,7,False,0,AI,27,0,0,LEVEL_COMPLETE
2025-10-08T10:24:53,00:21,21,IDS,EUCLIDEAN,AI,70,84,84,0,7,7,0,4,0,4,0,True,7,False,0,AI,21,0,0,LEVEL_COMPLETE
2025-10-08T10:25:02,00:22,22,IDS,EUCLIDEAN,AI,70,75,75,0,7,7,0,4,0,4,0,True,7,False,0,AI,22,0,0,LEVEL_COMPLETE
2025-10-08T10:25:29,00:16,16,IDS,MAZEDISTANCE,AI,70,62,62,0,7,7,0,4,0,4,0,True,7,False,0,AI,16,0,0,LEVEL_COMPLETE
2025-10-08T10:25:30,00:27,27,IDS,MAZEDISTANCE,AI,70,89,89,0,7,7,0,4,0,4,0,True,7,False,0,AI,27,0,0,LEVEL_COMPLETE
2025-10-08T10:25:32,00:09,9,IDS,MAZEDISTANCE,AI,70,48,48,0,7,7,0,4,0,4,0,True,7,False,0,AI,9,0,0,LEVEL_COMPLETE
2025-10-08T10:25:54,00:19,19,IDS,MAZEDISTANCE,AI,70,76,76,0,7,7,0,4,0,4,0,True,7,False,0,AI,19,0,0,LEVEL_COMPLETE
2025-10-08T10:26:16,00:24,24,IDS,MAZEDISTANCE,AI,70,86,86,0,7,7,0,4,0,4,0,True,7,False,0,AI,24,0,0,LEVEL_COMPLETE
